codeType,txtName,codeLgt,txtDescrMarking,geoLat,geoLong,valElev,valGeoAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,valRadiusAccuracy,uomRadius,codeGroupId,txtGroupName,locGroupMemberId,locLinkedToGroupMemberId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source,defaultHeightFlag,codeMarking
TOWER, Sonnenberg Sendemast / Radio mast ,N,,47.8752777777778,16.4758333333333,537,0,55,0,M,0,0,M,0,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Zagersdorf Windkraftanlage / ,N,,47.7486111111111,16.5208333333333,427,0,150,0,M,0,0,M,1,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Zagersdorf Windkraftanlage / ,N,,47.7513888888889,16.5219444444444,419,0,150,0,M,0,0,M,2,,2,3,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Zagersdorf Windkraftanlage / ,N,,47.7455555555556,16.5213888888889,419,0,150,0,M,0,0,M,3,,3,4,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Hundseck bei Güssing Sendemast / Radio mast ,N,,47.0286111111111,16.2836111111111,412,0,35,0,M,0,0,M,4,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Kukmirn Sendemast / Radio mast ,N,,47.0666666666667,16.1933333333333,403,0,36,0,M,0,0,M,5,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Henndorf Sendemast / Radio mast ,N,,46.9794444444444,16.1572222222222,405,0,36,0,M,0,0,M,6,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Rohrbrunn Sendemast / Radio mast ,N,,47.1113888888889,16.1202777777778,392,0,33,0,M,0,0,M,7,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windisch Minihof Sendemast / Radio mast ,N,,46.8902777777778,16.1038888888889,386,0,30,0,M,0,0,M,8,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Bad Sauerbrunn Sendemast / Radio mast ,N,,47.7675,16.3244444444444,408,0,43,0,M,0,0,M,9,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Baumgarten Sendemast / Radio mast ,N,,47.725,16.4930555555556,379,0,30,0,M,0,0,M,10,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Brentenriegel Sendemast / Radio mast ,N,,47.6591666666667,16.3905555555556,656,0,50,0,M,0,0,M,11,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Heuberg Sendemast / Radio mast ,N,,47.6983333333333,16.3052777777778,800,0,80,0,M,0,0,M,12,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Pöttelsdorf Windkraftanlage / ,N,,47.7591666666667,16.4213888888889,378,0,120,0,M,0,0,M,13,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Sieggraben Sendemast / Radio mast ,N,,47.6572222222222,16.3819444444444,558,0,39,0,M,0,0,M,14,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Sigleß Windkraftanlage / ,N,,47.7591666666667,16.4075,415,0,150,0,M,0,0,M,15,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Sigleß Windkraftanlage / ,N,,47.7716666666667,16.4175,384,0,140,0,M,0,0,M,16,,2,3,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Baumgarten Windkraftanlage / ,N,,47.745,16.5258333333333,414,0,150,0,M,0,0,M,17,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Baumgarten Windkraftanlage / ,N,,47.7422222222222,16.5238888888889,403,0,150,0,M,0,0,M,18,,2,3,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Baumgarten Windkraftanlage / ,N,,47.7419444444444,16.5288888888889,405,0,150,0,M,0,0,M,19,,3,4,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Baumgarten Windkraftanlage / ,N,,47.7388888888889,16.5275,389,0,150,0,M,0,0,M,20,,4,5,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Baumgarten Windkraftanlage / ,N,,47.7388888888889,16.5336111111111,419,0,150,0,M,0,0,M,21,,5,6,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Pöttelsdorf-Sigleß Windkraftanlage / ,N,,47.7686111111111,16.4152777777778,383,0,131,0,M,0,0,M,22,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Pöttelsdorf-Sigleß Windkraftanlage / ,N,,47.7652777777778,16.4194444444444,379,0,131,0,M,0,0,M,23,,2,3,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Pöttelsdorf-Sigleß Windkraftanlage / ,N,,47.7630555555556,16.4163888888889,391,0,131,0,M,0,0,M,24,,3,4,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Pöttelsdorf-Sigleß Windkraftanlage / ,N,,47.7611111111111,16.4127777777778,405,0,131,0,M,0,0,M,25,,4,5,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Pöttelsdorf-Sigleß Windkraftanlage / ,N,,47.7663888888889,16.4125,403,0,140,0,M,0,0,M,26,,5,6,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Pöttelsdorf-Sigleß Windkraftanlage / ,N,,47.7636111111111,16.41,412,0,140,0,M,0,0,M,27,,6,7,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Pöttelsdorf-Sigleß Windkraftanlage / ,N,,47.7619444444444,16.4061111111111,410,0,140,0,M,0,0,M,28,,7,8,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Parndorf Windkraftanlage / ,N,,47.9766666666667,16.8694444444444,290,0,112,0,M,0,0,M,29,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Potzneusiedl Windkraftanlage / ,N,,48.05,16.9141666666667,313,0,138,0,M,0,0,M,30,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Repowering Windpark Mönchhof Windkraftanlage / ,N,,47.9111111111111,16.9611111111111,356,0,196,0,M,0,0,M,31,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Repowering Windpark Mönchhof Windkraftanlage / ,N,,47.905,16.9558333333333,336,0,175,0,M,0,0,M,32,,2,3,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Repowering Windpark Mönchhof Windkraftanlage / ,N,,47.9011111111111,16.9611111111111,334,0,175,0,M,0,0,M,33,,3,4,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Repowering Windpark Mönchhof Windkraftanlage / ,N,,47.9,16.9658333333333,328,0,175,0,M,0,0,M,34,,4,5,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windkraftanlage Neudorf Windkraftanlage / ,N,,48.0377777777778,16.9008333333333,374,0,190,0,M,0,0,M,35,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8297222222222,17.0416666666667,307,0,186,0,M,0,0,M,36,,1,2,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8255555555556,17.0405555555556,307,0,186,0,M,0,0,M,37,,2,3,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8266666666667,17.0491666666667,309,0,186,0,M,0,0,M,38,,3,4,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8227777777778,17.0430555555556,306,0,186,0,M,0,0,M,39,,4,5,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8213888888889,17.0497222222222,306,0,186,0,M,0,0,M,40,,5,6,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8230555555556,17.0525,308,0,186,0,M,0,0,M,41,,6,7,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8241666666667,17.0558333333333,307,0,186,0,M,0,0,M,42,,7,8,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8183333333333,17.0530555555556,305,0,186,0,M,0,0,M,43,,8,9,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8180555555556,17.0455555555556,305,0,186,0,M,0,0,M,44,,9,10,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8147222222222,17.04,307,0,186,0,M,0,0,M,45,,10,11,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8119444444444,17.0358333333333,306,0,186,0,M,0,0,M,46,,11,12,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8125,17.0288888888889,304,0,186,0,M,0,0,M,47,,12,13,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8094444444444,17.0244444444444,305,0,186,0,M,0,0,M,48,,13,14,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8052777777778,17.0286111111111,303,0,186,0,M,0,0,M,49,,14,15,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8086111111111,17.0308333333333,304,0,186,0,M,0,0,M,50,,15,16,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8138888888889,17.0461111111111,306,0,186,0,M,0,0,M,51,,16,17,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8144444444444,17.0519444444444,307,0,186,0,M,0,0,M,52,,17,18,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8166666666667,17.0591666666667,305,0,186,0,M,0,0,M,53,,18,19,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8130555555556,17.0577777777778,304,0,186,0,M,0,0,M,54,,19,20,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8097222222222,17.0511111111111,304,0,186,0,M,0,0,M,55,,20,21,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8072222222222,17.0466666666667,304,0,186,0,M,0,0,M,56,,21,22,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8075,17.0388888888889,303,0,186,0,M,0,0,M,57,,22,23,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8047222222222,17.0338888888889,304,0,186,0,M,0,0,M,58,,23,24,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8005555555556,17.0341666666667,304,0,186,0,M,0,0,M,59,,24,25,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8019444444444,17.0397222222222,304,0,186,0,M,0,0,M,60,,25,26,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8027777777778,17.0469444444444,305,0,186,0,M,0,0,M,61,,26,27,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8077777777778,17.0586111111111,303,0,186,0,M,0,0,M,62,,27,28,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8111111111111,17.0652777777778,304,0,186,0,M,0,0,M,63,,28,29,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8091666666667,17.0711111111111,305,0,186,0,M,0,0,M,64,,29,30,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8069444444444,17.0647222222222,304,0,186,0,M,0,0,M,65,,30,31,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8036111111111,17.0608333333333,304,0,186,0,M,0,0,M,66,,31,32,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8030555555556,17.0547222222222,304,0,186,0,M,0,0,M,67,,32,33,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.7986111111111,17.0522222222222,302,0,186,0,M,0,0,M,68,,33,34,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.7980555555556,17.0427777777778,304,0,186,0,M,0,0,M,69,,34,35,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.7961111111111,17.0377777777778,304,0,186,0,M,0,0,M,70,,35,36,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.7952777777778,17.0488888888889,301,0,186,0,M,0,0,M,71,,36,37,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.7919444444444,17.0422222222222,267,0,150,0,M,0,0,M,72,,37,38,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8183333333333,17.0177777777778,306,0,186,0,M,0,0,M,73,,38,39,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8197222222222,17.0236111111111,307,0,186,0,M,0,0,M,74,,39,40,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8213888888889,17.0291666666667,305,0,186,0,M,0,0,M,75,,40,41,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
TOWER, Windpark Andau-Halbturn Windkraftanlage / ,N,,47.8230555555556,17.0347222222222,307,0,186,0,M,0,0,M,76,,41,42,GROUP,,,,AUSTRIA AIP ENR 5.4,N,N
